time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-18T01:49:10.420Z,19.4161667,-155.2776667,0.88,3.62,ml,31,47,0.006249,0.1,hv,hv70438442,2018-10-04T14:15:26.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.17,0.14,0.18,32,reviewed,hv,hv
2018-07-23T00:12:41.220Z,19.399,-155.2755,1.13,3.62,ml,23,46,0.004016,0.07,hv,hv70462252,2018-10-09T16:43:21.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.17,0.19,0.09,9,reviewed,hv,hv
2018-07-26T01:55:55.100Z,19.4155,-155.2763333,0.27,3.62,ml,25,47,0.007637,0.11,hv,hv70477007,2018-10-09T16:43:23.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.13,0.13,0.155,48,reviewed,hv,hv
2018-07-28T06:28:30.800Z,19.4095,-155.2698333,-0.64,3.61,ml,27,43,0.009743,0.14,hv,hv70487292,2018-10-09T16:43:25.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.1,0.15,0.211,21,reviewed,hv,hv
2018-07-29T15:35:22.280Z,19.4006667,-155.2736667,1.22,3.61,ml,25,47,0.005271,0.11,hv,hv70493822,2018-10-09T16:43:26.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.14,0.13,0.213,23,reviewed,hv,hv
2018-07-31T10:22:07.130Z,19.4068333,-155.2606667,0.24,3.61,ml,24,91,0.005279,0.11,hv,hv70502207,2018-10-16T15:34:09.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.14,37,reviewed,hv,hv
2018-08-02T10:18:25.390Z,19.4065,-155.287,1.36,3.61,ml,30,30,0.01144,0.08,hv,hv70511547,2021-03-01T21:48:39.820Z,"6 km SW of Volcano, Hawaii",earthquake,0.23,0.15,0.176,49,reviewed,hv,hv
2018-10-09T08:54:50.310Z,19.5173333,-155.6643333,5.76,3.61,ml,57,42,0.03048,0.12,hv,hv70640477,2018-12-21T21:15:47.040Z,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.24,0.3,0.21,51,reviewed,hv,hv
2018-08-02T07:40:11.930Z,19.4161667,-155.2706667,0.15,3.6,ml,29,41,0.01076,0.1,hv,hv70511012,2018-10-16T15:34:07.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.12,0.12,0.193,21,reviewed,hv,hv
2018-07-11T12:21:24.290Z,19.4126667,-155.2685,0.12,3.6,ml,22,60,0.008159,0.13,hv,hv70397291,2018-10-02T16:40:34.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.11,0.13,0.263,16,reviewed,hv,hv
2018-07-15T06:59:44.670Z,19.4165,-155.278,0.62,3.6,ml,20,55,0.005869,0.1,hv,hv70425242,2018-10-02T16:40:45.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.16,0.21,0.152,32,reviewed,hv,hv
2018-07-23T06:50:04.340Z,19.4048333,-155.287,1.14,3.6,ml,40,27,0.0124,0.13,hv,hv70463597,2018-10-09T16:43:21.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.14,0.1,0.219,29,reviewed,hv,hv
2018-07-26T03:35:49.870Z,19.415,-155.2776667,0.32,3.6,ml,50,34,0.006622,0.13,hv,hv70477317,2019-02-05T23:30:01.449Z,"5 km SW of Volcano, Hawaii",earthquake,0.14,0.08,0.227,20,reviewed,hv,hv
